Name,Year,Duration,Genre,Rating,Director,Actor 1,Actor 2,Actor 3
Bhoomige Banda Bhagavantha,1981.0,144.0,"Action, Drama, Fantasy",5.841621416845562,K.S.L. Swamy,Lokesh,Lakshmi,Jai Jagdeesh
Bhoot,2003.0,113.0,"Horror, Mystery, Thriller",6.5,Ram Gopal Varma,Ajay Devgn,Urmila Matondkar,Nana Patekar
Bhoot and Friends,2010.0,133.0,"Animation, Action, Adventure",5.8,Karanjeet Saluja,Nishikant Dixit,Ashish Kattar,Faiz Khan
Bhoot Bangla,1999.0,109.0,Horror,5.841621416845562,Ganesh Babu,Rashika,Bala Singh,Unknown
Bhoot Bhaijaan,2018.0,105.0,Other,5.841621416845562,Habieb Naseer,Hamed Kamal,Adnan Sajid Khan,Aziz Naser
Bhoot Bhungla,1997.0,124.0,Comedy,3.8,Aziz Sejawal,Govinda,Shakti Kapoor,Kader Khan
Bhoot Bungla,1965.0,145.0,"Comedy, Horror, Mystery",6.5,Mehmood,Mehmood,Tanuja,Nasir Hussain
Bhoot Hi Bhoot,2000.0,101.0,Horror,5.841621416845562,Ashish,Imran,Reshama,Sajid
Bhoot Junction,2018.0,109.0,Horror,5.841621416845562,Niranjan Kumar Sharma,Raj,Unknown,Unknown
Bhoot Ka Darr,1999.0,85.0,Horror,4.0,S. Gawli,Sapna Sappu,Junior Amitabh Bachchan,Jyoti Rana
Bhoot Ka Pyar,2005.0,121.0,Drama,5.841621416845562,Shabbir Khan,Unknown,Unknown,Unknown
Bhoot Ke Peeche Bhoot,2003.0,109.0,Horror,3.4,Kishan Shah,Hemant Birje,Pinky Chinoy,Mohan Joshi
Bhoot Mahal,2004.0,109.0,Horror,5.841621416845562,Kishan Shah,Ramesh Goyal,Satnam Kaur,Ali Khan
Bhoot Mera Saathi,1974.0,109.0,Horror,5.841621416845562,Raj Babu,Jaggayya,Vijaya Nirmala,Unknown
Bhoot police,2021.0,124.0,Comedy,5.841621416845562,Pavan Kripalani,Yami Gautam,Saif Ali Khan,Jacqueline Fernandez
Bhoot Raaj,2000.0,109.0,Horror,3.2,Poonam Dasgupta,Prithvi,Satnam Kaur,Shakti Kapoor
Bhoot Returns,2012.0,85.0,"Horror, Mystery, Thriller",2.5,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma
Bhoot Unkle,2019.0,105.0,"Family, Fantasy",5.841621416845562,Mukesh Saigal,Jackie Shroff,Akhilendra Mishra,Dev K. Kantawall
Bhoot: Part One - The Haunted Ship,2020.0,114.0,"Horror, Mystery, Thriller",5.4,Bhanu Pratap Singh,Vicky Kaushal,Ashutosh Rana,Meher Vij
Bhootaha,2020.0,100.0,Horror,5.841621416845562,Rupesh Kumar Singh,Jyoti Tripathi,Unknown,Unknown
Bhooth Haveli,2000.0,109.0,Horror,5.841621416845562,Indrajit,Lailasree,Ram Mohan,Unknown
Bhoothnath Returns,2014.0,155.0,"Comedy, Drama, Fantasy",6.6,Nitesh Tiwari,Amitabh Bachchan,Boman Irani,Parth Bhalerao
Bhootiyapa,2019.0,128.0,"Comedy, Horror",5.841621416845562,Manoj Sharma,Krishna Abhishek,Mithun Chakraborty,Tanaji Galgunde
Bhootnath,2008.0,150.0,"Comedy, Drama, Family",6.3,Vivek Sharma,Amitabh Bachchan,Juhi Chawla,Satish Shah
Bhootnath,1963.0,129.0,Adventure,6.5,Nanabhai Bhatt,Mohan Choti,Vijaya Choudhury,Rajan Haksar
Bhootni,2000.0,109.0,Horror,2.4,Israr Ahmed,Kiran Kumar,Johnny Lever,Raza Murad
Bhooton Ka Honeymoon,2001.0,109.0,Horror,5.841621416845562,Shaheen Khan,Mac Mohan,Pramod Moutho,Raza Murad
Bhooton Ka Mahal,2000.0,109.0,Horror,5.841621416845562,Ambika,Anuradha,Karthik,Unknown
Bhootwali Love Story,2018.0,109.0,Comedy,5.841621416845562,Shantanu Anant Tambe,Tushar Acharya,Kanchan Awasthi,Laxman Dawbhat
Bhopal Express,1999.0,100.0,Drama,7.1,Mahesh Mathai,Kay Kay Menon,Nethra Raghuraman,Zeenat Aman
Bhopal: A Prayer for Rain,2014.0,96.0,Drama,7.2,Ravi Kumar,Martin Sheen,Mischa Barton,Kal Penn
Bhopali,2011.0,89.0,"Documentary, History, News",8.0,Van Maximilian Carlson,Saiba Babu,Salam Babu,Rashida Bee
Bhor: Dawn,2018.0,93.0,Drama,7.8,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel
Bhouri,2016.0,140.0,Drama,6.7,Jasbir Bijender Bhati,Raghuvir Yadav,Masha Pour,Kunickaa Sadanand
Bhram: An Illusion,2008.0,135.0,"Drama, Mystery, Romance",4.0,Pavan Kaul,Dino Morea,Milind Soman,Sheetal Menon
Bhrashtachar,1989.0,153.0,"Action, Crime, Drama",4.6,Ramesh Sippy,Rekha,Mithun Chakraborty,Anupam Kher
Bhu Mafia,2018.0,121.0,Drama,5.841621416845562,Sanjay Srivastav,Ramesh Yadav,Devdutt Budholiya,Mohini Gupta
Bhuchaal,1993.0,133.0,Action,5.841621416845562,Rakesh Kashyap,Puneet Issar,Bharat Kapoor,Daboo Malik
Bhuddah Hoga Tera Baap,2011.0,114.0,"Action, Comedy, Crime",5.6,Puri Jagannadh,Amitabh Bachchan,Hema Malini,Sonu Sood
Bhuj: The Pride of India,2021.0,150.0,"Action, Drama, History",5.841621416845562,Abhishek Dudhaiya,Sharad Kelkar,Ajay Devgn,Parineeti Chopra
Bhula Na Dena,1981.0,134.0,"Drama, Family",5.841621416845562,Harsh Kohli,Kaajal Kiran,Helen,Sujit Kumar
Bhulaye Na Bane,1985.0,130.0,Romance,5.841621416845562,Virendra Sharma,Madan Jain,Natasha Sinha,Unknown
Bhule Bhatke,1952.0,136.0,"Comedy, Fantasy",5.841621416845562,Brij,Brijmohan,Master Bhagwan,Baburao Pahelwan
Bhumi,2016.0,120.0,Drama,5.841621416845562,Mohd Feroz Qureshi,Adeeth Bhandarre,Mantosh Kumar,Esha Pathak
Bhumika,1977.0,142.0,Drama,7.4,Shyam Benegal,Smita Patil,Anant Nag,Naseeruddin Shah
Bhunsaara,2010.0,77.0,"Drama, Romance",5.841621416845562,Unknown,Unknown,Unknown,Unknown
Bhutio Mahal,1932.0,142.0,Other,5.841621416845562,Jayant Desai,Keki Adajania,Dinshaw Bilimoria,Dixit
Bhuvan Shome,1969.0,96.0,"Comedy, Drama",7.5,Mrinal Sen,Utpal Dutt,Suhasini Mulay,Shekhar Chatterjee
Bichar,1943.0,121.0,Drama,5.841621416845562,Nitin Bose,Maya Banerjee,Dilip Bose,Leela Desai
Bichchade Balam,1948.0,142.0,Other,5.841621416845562,Manibhai Vyas,Khurshid Jr.,Anjum,Meena Kumari
Bichhoo,2000.0,160.0,"Action, Crime, Drama",5.0,Guddu Dhanoa,Bobby Deol,Rani Mukerji,Ashish Vidyarthi
Bidaai,1974.0,144.0,"Drama, Musical, Romance",6.5,L.V. Prasad,Jeetendra,Leena Chandavarkar,Durga Khote
Bidi Bakda,2021.0,121.0,Drama,5.841621416845562,Gajendra Ahire,Seema Biswas,Eshika Dey,Govind Namdeo
Bidrohi,1935.0,142.0,Other,5.841621416845562,Dhirendranath Ganguly,Ahindra Choudhury,Jyotsna Gupta,Indubala
Bidyapati,1937.0,141.0,Drama,7.0,Debaki Bose,Pahadi Sanyal,Durgadas Bannerjee,Chhayadevi
Big Brother,2007.0,128.0,"Action, Crime, Drama",3.8,Guddu Dhanoa,Sunny Deol,Priyanka Chopra Jonas,Vikas Anand
Bigde Dil,1949.0,142.0,Other,5.841621416845562,A.M. Khan,Master Bhagwan,Unknown,Unknown
Bihar Ke Darshaniya Sthan,1955.0,76.0,Documentary,5.841621416845562,Ritwik Ghatak,Unknown,Unknown,Unknown
Biharflood Madad Ek Sahyog,2017.0,76.0,Documentary,5.841621416845562,Manis Gupta,Ranjan Mistry,Unknown,Unknown
Bihari Gunda,1987.0,133.0,Action,5.0,S.P. Muthuraman,Raghuvaran,Rajinikanth,Roobini
Biharism,2013.0,121.0,Drama,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Bijili Aur Toofan,1988.0,133.0,Action,5.841621416845562,Sadashiv Amrapurkar,Hemant Birje,Sonika Gill,Satish Kaul
Bijlee,2000.0,116.0,Action,5.841621416845562,Ramesh U. Lakhiani,Kiran Kumar,Deepak Shirke,Shehzad Khan
Bijlee Aur Badal,1991.0,133.0,Action,5.841621416845562,Rakesh Bedi,Sunil Dhawan,Goga Kapoor,Shakti Kapoor
Bijli,1939.0,142.0,Other,5.841621416845562,Balwant Bhatt,Gulab,Pramila,Unknown
Bijli,1972.0,121.0,Drama,5.841621416845562,Rajan Haksar,Dinesh Hingoo,Hiralal,Dheeraj Kumar
Bijli Chamke Jamna Paar,1962.0,146.0,"Action, Drama",5.841621416845562,Jaswant Jhaveri,Dhumal,Paidi Jairaj,Raj Kishore
Bijuka,2012.0,74.0,Drama,6.4,Ashtar Sayed,Arti Rautela,Amit Purohit,Janardhan Mishra
Bikhare Moti,1971.0,154.0,"Action, Drama, Romance",3.6,Tapi Chanakya,Jeetendra,Babita Kapoor,Sujit Kumar
Bikhare Moti,1935.0,142.0,Other,5.841621416845562,Kamlabai Gokhale,Unknown,Unknown,Unknown
Bikhare Moti,1951.0,142.0,Other,5.841621416845562,S.M. Yusuf,Jayant,Jeevan,Kamini Kaushal
Bikroo Kanpur Gangster,2021.0,110.0,Crime,5.841621416845562,Neeraj Singh,Shraddha Srivastava,Nimai Bali,Anil Rastogi
Bilal,2008.0,92.0,Documentary,7.1,Sourav Sarangi,Unknown,Unknown,Unknown
Billa,1989.0,138.0,"Action, Comedy, Crime",6.6,Raja,Jai Ganesh,Goundamani,Jaishankar
Billa No. 786,2000.0,140.0,Action,4.4,Imran Khalid,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Billa Ranga,1982.0,113.0,"Action, Crime, Family",7.5,K.S.R. Das,Chiranjeevi,Mohan Babu,Radhika Sarathkumar
Billa Ranga Baashaa,2019.0,133.0,"Action, Adventure, Fantasy",5.841621416845562,Anup Bhandari,Sudeep,Unknown,Unknown
Billi,1938.0,142.0,Other,5.841621416845562,Jayant Desai,Unknown,Unknown,Unknown
Billi,1949.0,133.0,Action,5.841621416845562,Nari Ghadiali,Fearless Nadia,John Cawas,Vitha
Billi: The Wild Cat,2006.0,110.0,Crime,5.841621416845562,Tilak,Mamta Chauhan,Arun Verma,Tina Sequeira
Billoo Baadshah,1989.0,148.0,"Action, Crime, Drama",4.5,Sisir Misra,Shatrughan Sinha,Anita Raj,Govinda
Billu,2009.0,137.0,"Comedy, Drama",6.2,Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri
Billu Ustaad,2018.0,138.0,Drama,6.9,Suvahhdan Angre,Neel Bakshi,Sneha Arun,Abhishek Bardia
Bilwamangal,1954.0,124.0,"Drama, Fantasy",5.841621416845562,D.N. Madhok,Ulhas,Suraiya,Asha Mathur
Bilwamangal,1932.0,142.0,Other,5.841621416845562,Patience Cooper,Mohammad Isaq,Abdul Rehman Kabuli,Jehanara Kajjan
Bin Baap Ka Beta,1979.0,124.0,Comedy,5.841621416845562,Master Bhagwan,Birbal,Mohan Choti,Dhumal
Bin Badal Barsaat,1963.0,154.0,"Drama, Musical, Mystery",5.7,Jyoti Swaroop,Asha Parekh,Biswajit Chatterjee,Nishi
Bin Bulaye Baraati,2011.0,133.0,"Action, Comedy, Crime",3.8,Chandrakant Singh,Naushaad Abbas,Rati Agnihotri,Shweta Bhardwaj
Bin Maa Ke Bachche,1980.0,131.0,Drama,6.0,Satyen Bose,Bindu,Leela Chitnis,Raju Desai
Bin Phere Free Me Tere,2013.0,131.0,Comedy,4.5,Manoj Sharma,Ashrita Agarwal,Arsh Deol,Manoj Joshi
Bin Phere Hum Tere,1979.0,134.0,"Drama, Family",6.7,Rajat Rakshit,Asha Parekh,Vinod Mehra,Sarika
Bindhaast,1999.0,156.0,"Adventure, Mystery, Thriller",7.0,Chandrakant Kulkarni,Gautami Kapoor,Sharvari Jamenis,Reema Lagoo
Bindiya,1946.0,142.0,Other,5.841621416845562,Chimanlal Luhar,Leela Mishra,Ragni,Kamal Zamindar
Bindiya,1955.0,134.0,"Drama, Family",5.841621416845562,Shamim Bhagat,Shekhar,Sulochana Latkar,Kumkum
Bindiya,1978.0,130.0,Romance,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Bindiya Aur Bandook,1972.0,133.0,Action,2.8,Shibu Mitra,Kiran Kumar,Asha Sachdev,Laxmi Chhaya
Bindiya Aur Bandook Part II,2003.0,139.0,Action,5.841621416845562,Joginder Shelly,Poonam Dasgupta,Dinesh Hingoo,Mohan Joshi
Bindiya Chamkegi,1984.0,139.0,"Comedy, Family",5.1,Tarun Dutt,Rekha,Vinod Mehra,Johnny Walker
Bindiya Mange Bandook,2001.0,115.0,Action,3.9,Sanju K. Gupta,Joginder Shelly,Pinky Chinoy,Mohan Joshi
Bindya,1960.0,121.0,Drama,5.7,R. Krishnan,S. Panju,Padmini,Balraj Sahni
Bioscopewala,2017.0,91.0,Drama,7.6,Deb Medhekar,Danny Denzongpa,Geetanjali Thapa,Adil Hussain
Bipasha: The Black Beauty,2006.0,108.0,Thriller,5.841621416845562,Shailendra Singh Rajput,Needhi Gill,Razak Khan,Veer Lalwani
Biradari,1966.0,139.0,Drama,5.9,Ram Kamlani,Shashi Kapoor,Faryal,Pran
Biraj Bahu,1954.0,145.0,Drama,6.2,Bimal Roy,Kamini Kaushal,Abhi Bhattacharya,Shakuntala
Birbal Ki Beti,1935.0,142.0,Other,5.841621416845562,Nanubhai Vakil,Zubeida,Hadi,Gulab
Birbal My Brother,1973.0,105.0,Drama,5.841621416845562,Rajat Bapat,Satish Dubhashi,Lilian,Gulab Mokasi
Bird Idol,2010.0,100.0,Animation,4.3,Jyotin Goel,Unknown,Unknown,Unknown
Birha,2018.0,81.0,Documentary,5.841621416845562,Ekta Mittal,Unknown,Unknown,Unknown
Birha Ki Raat,1950.0,137.0,"Drama, Romance",7.1,Gajanan Jagirdar,Dev Anand,Nargis,Unknown
Birhan,1948.0,142.0,Other,5.841621416845562,Cuckoo,Shanti Modak,Begum Parveen,Pran
Birjoo,1993.0,133.0,Action,5.841621416845562,Qamar Narvi,Beena Banerjee,Kanchan,Raj Kiran
Birju Maharaj,1972.0,76.0,Documentary,5.841621416845562,Chidananda Das Gupta,Unknown,Unknown,Unknown
Birju Ustad,1964.0,133.0,Action,5.841621416845562,Ajit,Chandrashekhar,Vijaya Choudhury,Sheikh Mukhtar
Birsa Munda - The black Iron Man,2004.0,120.0,History,5.841621416845562,Rajesh Mittal,Biswajit Chatterjee,Ali Khan,Anil Nagrath
Birthday,1965.0,142.0,Other,5.841621416845562,Phani Majumdar,Unknown,Unknown,Unknown
Bishwa,2020.0,121.0,Drama,5.841621416845562,Anuj Tyagi,Vinay Pathak,Usha Jadhav,Sharib Hashmi
Bismil Ki Arzoo,1937.0,142.0,Other,5.841621416845562,B.S. Hijle,Sardar Akhtar,Nurjahan,Unknown
Bismillah Ki Barkat,1983.0,121.0,Drama,5.8,K Sharif,Tariq,Sona Mastan Mirza,Meena T.
Bistar,1986.0,127.0,Drama,5.841621416845562,Arun Govil,Jankidas,Mehmood Jr.,Yunus Parvez
Bistar,2001.0,108.0,Thriller,5.841621416845562,Kishan Shah,Birbal,Hemant Birje,Poonam Dasgupta
Bisvi Sadi,1945.0,142.0,Other,5.841621416845562,Mohan Dayaram Bhavnani,Motilal,Nargis,Mazhar Khan
Bitch,2017.0,82.0,"Adventure, Comedy, Drama",5.5,Csaba Bene Perlenberg,Amanda Ooms,Lars-Erik Berenett,Anders Granström
Bitiya Sada Suhaghan Rah,2014.0,102.0,Family,5.841621416845562,Kritn Ajitesh,Unknown,Unknown,Unknown
Bitter Chestnut,2019.0,100.0,Drama,7.1,Gurvinder Singh,Bhankheri Devi,Rani Devi,Gopi Katwal
Bittoo Boss,2012.0,116.0,Romance,4.1,Supavitra Babul,Pulkit Samrat,Rajesh Bakshi,Ujjwal Chopra
Biwi,1950.0,134.0,"Drama, Family",5.841621416845562,Kishore Sharma,Al Nasir,Pran,Mumtaz Shanti
Biwi Anari Saali Khiladi,2002.0,108.0,Thriller,5.841621416845562,Raj Kamal,Haider Kazmi,Mushtaq Khan,Roshni
Biwi Aur Makan,1966.0,126.0,Comedy,6.9,Hrishikesh Mukherjee,Biswajit Chatterjee,Mehmood,Shabnam
Biwi aur Padosan,2001.0,108.0,Thriller,5.841621416845562,Laxmikant Berde,Bindu Kamat,Razak Khan,Dharmendra Rana
Biwi Aur Sali,2002.0,108.0,Thriller,5.841621416845562,Bhaskar,Pratap Chandra,Devan,Unknown
Biwi Ho To Aisi,1988.0,149.0,"Comedy, Drama",5.8,J.K. Bihari,Rekha,Farooq Shaikh,Bindu
Biwi Jawan Miyan Pareshaan,2000.0,124.0,Comedy,5.841621416845562,Usman Khan,Tina Ghai,Balli Grover,Raju Srivastava
Biwi Ka Pyar,2001.0,108.0,Thriller,5.841621416845562,Shakeela,Unknown,Unknown,Unknown
Biwi Ka Yaar,2001.0,108.0,Thriller,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Biwi Ki Saheli,2003.0,108.0,Thriller,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Biwi Kiraya Ki,1975.0,123.0,"Comedy, Drama",5.841621416845562,Ajit Kumar,Sona Mastan Mirza,Indra Kumar,Jagdeep
Biwi Kiraye Ki,2003.0,108.0,Thriller,5.841621416845562,Shakeela,Unknown,Unknown,Unknown
Biwi No. 1,1999.0,159.0,"Comedy, Drama, Romance",5.7,David Dhawan,Karisma Kapoor,Salman Khan,Anil Kapoor
Biwi No. 2,2000.0,130.0,Romance,5.7,Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
Biwi Tumhari Bachche Hamare,2004.0,108.0,Thriller,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Biwi-O-Biwi,1981.0,156.0,"Comedy, Romance",7.0,Rahul Rawail,Sanjeev Kumar,Randhir Kapoor,Poonam Dhillon
Black,2005.0,122.0,Drama,8.2,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel
Black & White,2015.0,50.0,Drama,5.841621416845562,Kkunal Shinde,Akansha,Samruddhi Menge,Ekta Patil
Black & White,2008.0,134.0,"Crime, Drama, Thriller",6.2,Subhash Ghai,Anil Kapoor,Anurag Sinha,Shefali Shah
Black and White,1946.0,141.0,"Action, Comedy",5.841621416845562,S.M. Raza,John Cawas,Baburao Pahelwan,Kumari Kusum
Black and White,2011.0,133.0,Action,5.841621416845562,Rajeev Kanakala,Jackie Shroff,Sindhu Tolani,Unknown
Black Arrow,1965.0,146.0,"Action, Drama",5.841621416845562,Hameeda Bano,Khurshid Bawra,Hercules,Nazir Kashmiri
Black Bud,2019.0,92.0,"Crime, Drama, Thriller",5.841621416845562,Amol Kale,Asif Basra,Vipin Sharma,Atul Kulkarni
Black Cat,1959.0,154.0,"Action, Thriller, Mystery",6.7,Nisar Ahmad Ansari,Balraj Sahni,Minoo Mumtaz,Johnny Walker
Black Cobra,1981.0,139.0,"Action, Adventure, Crime",4.9,K.S.R. Das,Kavitha,Padma Khanna,Pandharibai
Black Coffee,2021.0,121.0,Drama,5.841621416845562,Hemant Verma,Suhasini Mulay,Virendra Saxena,Unknown
Black Commando,1994.0,133.0,Action,5.841621416845562,Rajiv Anjal,Suresh Gopi,Priya Raman,Tej Sapru
Black Currency,2019.0,133.0,Action,5.841621416845562,Sanjay Sharma,Nawazuddin Siddiqui,Zeenat Aman,Rajat Kapoor
Black Currency: The Fake Currency Truth Unfolds,2019.0,121.0,Drama,5.841621416845562,Sanjay Sharma,Nawazuddin Siddiqui,Zeenat Aman,Vivek Oberoi
Black Friday,2004.0,143.0,"Action, Crime, Drama",8.5,Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav
Black Future,2019.0,133.0,Action,5.841621416845562,Dhruv,Satya,Shishir,Dharmendra
Black Home,2015.0,105.0,"Drama, Thriller",7.4,Ashish Deo,Ashutosh Rana,Chitrashi Rawat,Murli Sharma
Black Is Beautiful,2016.0,90.0,Documentary,5.841621416845562,Deepak Sharma,Unknown,Unknown,Unknown
Black Market,1947.0,137.0,"Action, Thriller",5.841621416845562,S.H. Tharani,Dulari,Dilawar,Habib
Black Market,2021.0,131.0,Action,5.841621416845562,Arjun Raaj,Attin Bhalla,Milind Gunaji,Mohan Joshi
Black Mountain,1971.0,83.0,"Drama, Family, Fantasy",6.6,M.S. Sathyu,Aleksandr Zguridi,Reshama Pasha,Prince Pradeep
Black Out,1942.0,142.0,Other,5.841621416845562,Nari Ghadiali,Benjamin,Shobha,Sardar
Black Poster,2015.0,108.0,Thriller,5.841621416845562,Karann Rajpoot,Zakir Hussain,Sheetal Kale,Sharon Lamare
Black Prince,1960.0,133.0,Action,5.841621416845562,Unknown,Unknown,Unknown,Unknown
Black Rider,1960.0,146.0,"Action, Drama",5.841621416845562,Mehmood Khan,Kamran,Krishna Kumari,Habib
Black Rose,2021.0,108.0,Thriller,5.0,Hemant N Mishra,Samiksha Bhatnagar,Abhilash Narain,Sanjana Shukla
Black Rose,2020.0,120.0,Thriller,8.6,Hemant N Mishra,Samiksha Bhatnagar,Rahul Chawla,Abhilash Dada
Black Shadow,1961.0,133.0,Action,5.841621416845562,Madan Mohan Mehra,Amarnath,Manher Desai,Nishi
Black Tiger,1960.0,133.0,Action,5.841621416845562,Habib,Azaad Irani,Arvind Kumar,Nadira
Black Yellow,2019.0,72.0,"Comedy, Crime, Drama",5.841621416845562,Paresh Patel,Akshay Bhagat,Paresh Patel,Anagha Priolkar
Blackboard vs Whiteboard,2019.0,152.0,"Action, Family",5.4,Tarun s Bisht,Dharmendra,Alismita Goswami,Pankaj Jha
Blackgold,2019.0,110.0,Crime,5.841621416845562,Riingo Banerjee,Unknown,Unknown,Unknown
Blackmail,1973.0,145.0,"Drama, Musical, Romance",6.7,Vijay Anand,Dharmendra,Rakhee Gulzar,Shatrughan Sinha
Blackmail,2005.0,126.0,"Action, Drama, Thriller",4.1,Anil Devgan,Ajay Devgn,Sunil Shetty,Priyanka Chopra Jonas
Blackmail,2018.0,138.0,"Comedy, Thriller",7.1,Abhinay Deo,Irrfan Khan,Kirti Kulhari,Urmila Matondkar
Blackmailer,2009.0,142.0,Other,5.841621416845562,Aviraj,Rati Agnihotri,Rajesh Khanna,Aushim Khetarpal
Blackmailer,1959.0,108.0,Thriller,5.841621416845562,Sultan,Amarnath,Habib,Naazi
Blank,2019.0,107.0,"Action, Thriller",6.2,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma
Blast Barood,2001.0,133.0,Action,5.841621416845562,Chandramohan,Tottempudi Gopichand,Sneha,Unknown
Blind,2019.0,127.5,"Crime, Thriller",5.841621416845562,Shome Makhija,Sonam Kapoor,Lucy Aarden,Lillete Dubey
Blind Mind,2020.0,121.0,Drama,5.841621416845562,Vajshi G. Vavnotia,Vije Bhatia,Niharika Choukesey,Shreyanshi Barot
Blood,2019.0,121.0,Drama,5.841621416845562,Aslam Basha Shaik,Anwar Basha Siddiqui,Gaddam Sakar,Sushma
Blood Money,2012.0,109.0,"Action, Crime, Drama",5.0,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri
Blood Relation,2015.0,121.0,Drama,6.3,Sanjeev Kumar Rajput,Sunny Thakur,Unknown,Unknown
Blood Sugar,2020.0,81.0,Thriller,5.841621416845562,Desparado,Ajinkya,Rajeev Bharadwaj,Baby Mahali
Bloody D,2019.0,112.0,"Horror, Thriller",5.841621416845562,Aslam Khan,Aditya Pancholi,Sanaa,Deep Joshi
Bloody Isshq,2013.0,137.0,"Drama, Romance",7.2,Arup Dutta,Akash,Shilpa Anand,Karan Veer Mehra
Bloody Psycho,2017.0,115.0,Thriller,5.841621416845562,Irfan Khan,Soni Patel,Brijesh Tiwari,Unknown
Blue,2009.0,119.0,"Action, Adventure, Mystery",3.7,Anthony D'Souza,Akshay Kumar,Sanjay Dutt,Lara Dutta
Blue Mountains,2017.0,134.0,"Drama, Family, Musical",5.7,Suman Ganguli,Sapna Awasthi,Nitin Bali,Amit Behl
Blue Night: The Dangerous Game,2000.0,108.0,Thriller,5.841621416845562,Munir Khan,Mohan Joshi,Rubina Khan,Kiran Kumar
Blue Oranges,2009.0,114.0,Mystery,6.5,Rajesh Ganguly,Rajit Kapoor,Aham Sharma,Pooja Kanwal
"Blue Skies, Green Waters, Red Earth",2013.0,137.0,"Adventure, Drama, Romance",7.7,Sameer Thahir,Dulquer Salmaan,Sunny Wayne,Bala Hijam
Bluff Master,1963.0,135.0,Romance,6.5,Manmohan Desai,Shammi Kapoor,Saira Banu,Niranjan Sharma
Bluffmaster,2005.0,137.0,"Comedy, Crime, Drama",6.6,Rohan Sippy,Abhishek Bachchan,Priyanka Chopra Jonas,Riteish Deshmukh
Bob Biswas,2019.0,133.0,"Crime, Drama, Thriller",5.841621416845562,Diya Annapurna Ghosh,Abhishek Bachchan,Chitrangda Singh,Amar Upadhyay
Bobby,1973.0,168.0,"Comedy, Musical, Romance",7.1,Raj Kapoor,Dimple Kapadia,Rishi Kapoor,Pran
Bobby Darogan,2020.0,127.0,"Comedy, Crime, Drama",5.841621416845562,Vivek Sharama,Pratap Kumar,Monika Himachali,Rajveer Singh Dangi
Bobby Jasoos,2014.0,121.0,"Comedy, Drama, Thriller",5.5,Samar Iqbal,Vidya Balan,Ali Fazal,Mahima A
Bobby: Love and Lust,2005.0,125.0,Romance,4.8,Rakesh Parmaar,Usha Bachani,Monalisa,Hyder Kazmi
Body,2021.0,113.0,Mystery,5.841621416845562,Abhijit Mazumdar,Khushboo Upadhyay,Jatin Negi,Manoj Sharmaa
Bodyguard,2011.0,130.0,"Action, Comedy, Drama",4.7,Siddique,Salman Khan,Kareena Kapoor,Raj Babbar
Bohlol Dana - A Sage of Baghdad,2010.0,117.0,History,8.2,Abdul Qayyoom Khan,Unknown,Unknown,Unknown
Boichek,2017.0,85.0,"Drama, Thriller",6.3,Santosh Sivan,Chandra Shekhar Dutta,Sugandha Garg,Brijendra Kala
Bokshi,2019.0,132.0,"Horror, Fantasy",5.841621416845562,Bhargav Saikia,Unknown,Unknown,Unknown
Bokul,1954.0,142.0,Other,5.841621416845562,Bholanath Mitra,Uttam Kumar,Manorama,Unknown
Bol Bachchan,2012.0,155.0,"Action, Comedy",5.5,Rohit Shetty,Amitabh Bachchan,Abhishek Bachchan,Ajay Devgn
Bol Radha Bol,1992.0,164.0,"Action, Comedy, Crime",6.1,David Dhawan,Rishi Kapoor,Juhi Chawla,Kader Khan
Bold,2006.0,110.0,Crime,4.7,K.C. Bokadia,Tanvi Verma,Prem Chopra,Shakti Kapoor
Bold & Beautiful Sherni,2017.0,133.0,Action,5.841621416845562,Dhananjay Galani,Rajesh Desai,Rahul Dutta,Dhananjay Galani
Bole Chudiyan,2021.0,139.0,"Comedy, Drama, Romance",5.841621416845562,Shamas Nawab Siddiqui,Tamannaah Bhatia,Nawazuddin Siddiqui,Rajpal Yadav
Bole India Jai Bhim,2016.0,150.0,Biography,7.9,Subodh Nagdeve,Shyam Bhimsaria,Sameer Deshpande,Jeetendra Doshi
Bollywood Diaries,2016.0,125.0,Drama,6.0,K.D. Satyam,Raima Sen,Salim Diwan,Ashish Vidyarthi
Bollywood Villa,2014.0,124.0,Thriller,4.8,Chandersen Singh,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia
Bollywood Zindabad,2021.0,137.0,Biography,5.841621416845562,Rishab Bhardwaj,Preeti,Unknown,Unknown
